Time,Noisy Signal,Clean Signal
5.2499,2169,2349
5.2999,2097,2442
5.3499,2796,2529
5.3999,2414,2608
5.4499,2590,2679
5.4999,2664,2739
5.5499,4095,2789
5.5999,2925,2826
5.6499,3136,2852
5.6999,3238,2865
5.7499,2403,2865
5.7999,2556,2852
5.8499,2563,2826
5.8999,2899,2789
5.9499,2675,2739
5.9999,3479,2679
6.0499,2762,2608
6.0999,2115,2529
6.1499,2231,2442
6.1999,3000,2349
6.2499,2435,2251
6.2999,3050,2150
6.3499,2154,2047
6.3999,0,1945
6.4499,2301,1844
6.4999,1489,1746
6.5499,1524,1653
6.5999,1989,1566
6.6499,1755,1487
6.6999,441,1416
6.7499,1413,1356
6.7999,1672,1306
6.8499,913,1269
6.8999,1594,1243
6.9499,937,1230
6.9999,1427,1230
7.0499,1286,1243
7.0999,1361,1269
7.1499,1424,1306
7.1999,1022,1356
7.2499,1817,1416
7.2999,1725,1487
7.3499,1748,1566
7.3999,1520,1653
7.4499,1677,1746
7.4999,1704,1844
7.5499,1808,1945
7.5999,2232,2047
7.6499,2076,2150
7.6999,1901,2251
7.7499,2111,2349
7.7999,3014,2442
7.8499,2492,2529
7.8999,2881,2608
7.9499,3049,2679
7.9999,2481,2739
8.0499,3112,2789
8.0999,3057,2826
8.1499,3187,2852
8.1999,3062,2865
8.2499,3289,2865
8.2999,2705,2852
8.3499,2054,2826
8.3999,3630,2789
8.4499,1578,2739
8.4999,3186,2679
8.5499,2322,2608
8.5999,2457,2529
8.6499,2461,2442
8.6999,2718,2349
8.7499,3020,2251
8.7999,1843,2150
8.8499,2483,2047
8.8999,2712,1945
8.9499,1255,1844
8.9999,1979,1746
9.0499,1901,1653
9.0999,1702,1566
9.1499,911,1487
9.1999,1425,1416
9.2499,1101,1356
9.2999,839,1306
9.3499,1406,1269
9.3999,0,1243
9.4499,127,1230
9.4999,1700,1230
9.5499,1696,1243
9.5999,1155,1269
9.6499,520,1306
9.6999,1377,1356
9.7499,1161,1416
9.7999,1113,1487
9.8499,1049,1566
9.8999,1279,1653
9.9499,1708,1746
9.9999,2063,1844
10.0499,2078,1945
10.0999,1850,2047
10.1499,2269,2150
10.1999,2580,2251
10.2499,2430,2349
10.2999,2385,2442
10.3499,2651,2529
10.3999,2529,2608
10.4499,3438,2679
10.4999,2820,2739
10.5499,2336,2789
10.5999,2912,2826
10.6499,2702,2852
10.6999,3039,2865
10.7499,3270,2865
10.7999,3841,2852
10.8499,3204,2826
10.8999,2611,2789
10.9499,2691,2739
10.9999,2348,2679
11.0499,3078,2608
11.0999,2917,2529
11.1499,2611,2442
11.1999,2579,2349
11.2499,2277,2251
11.2999,1187,2150
11.3499,2417,2047
11.3999,2605,1945
11.4499,1935,1844
11.4999,2070,1746
11.5499,1821,1653
11.5999,342,1566
11.6499,1293,1487
11.6999,1262,1416
11.7499,1347,1356
11.7999,830,1306
11.8499,1531,1269
11.8999,1345,1243
11.9499,930,1230
11.9999,966,1230
12.0499,1287,1243
12.0999,1213,1269
12.1499,1319,1306
12.1999,1559,1356
12.2499,1964,1416
12.2999,292,1487
12.3499,1891,1566
12.3999,1626,1653
12.4499,2017,1746
12.4999,2115,1844
12.5499,1142,1945
12.5999,3806,2048
12.6499,2205,2150
12.6999,3183,2251
12.7499,2468,2349
12.7999,2875,2442
12.8499,2218,2529
12.8999,3171,2608
12.9499,3206,2679
12.9999,3247,2739
13.0499,3039,2789
13.0999,2609,2826
13.1499,2831,2852
13.1999,2648,2865
13.2499,2826,2865
13.2999,2603,2852
13.3499,2801,2826
13.3999,2196,2789
13.4499,2769,2739
13.4999,3019,2679
13.5499,2782,2608
13.5999,924,2529
13.6499,2476,2442
13.6999,1982,2349
13.7499,2260,2251
13.7999,2587,2150
13.8499,1989,2048
13.8999,2398,1945
13.9499,2002,1844
13.9999,1812,1746
14.0499,2041,1653
14.0999,1270,1566
14.1499,1593,1487
14.1999,1850,1416
14.2499,1363,1356
14.2999,1542,1306
14.3499,1892,1269
14.3999,1436,1243
14.4499,1646,1230
14.4999,1385,1230
14.5499,1395,1243
14.5999,2011,1269
14.6499,1290,1306
14.6999,1992,1356
14.7499,1568,1416
14.7999,1780,1487
14.8499,1526,1566
14.8999,1262,1653
14.9499,2063,1746
14.9999,2255,1844
15.0499,2052,1945
15.0999,2093,2047
15.1499,2825,2150
15.1999,2148,2251
15.2499,2779,2349
15.2999,1910,2442
15.3499,2384,2529
15.3999,2912,2608
15.4499,1626,2679
15.4999,2946,2739
15.5499,1493,2789
15.5999,2501,2826
15.6499,3998,2852
15.6999,2845,2865
15.7499,2333,2865
15.7999,2464,2852
15.8499,3077,2826
15.8999,3113,2789
15.9499,2691,2739
15.9999,2571,2679
16.0499,2359,2608
16.0999,1693,2529
16.1499,2212,2442
16.1999,1264,2349
16.2499,2999,2251
16.2999,744,2150
16.3499,2110,2047
16.3999,1673,1945
16.4499,2021,1844
16.4999,1557,1746
16.5499,2163,1653
16.5999,3201,1566
16.6499,1508,1487
16.6999,944,1416
16.7499,1615,1356
16.7999,1017,1306
16.8499,1283,1269
16.8999,1265,1243
16.9499,813,1230
16.9999,843,1230
17.0499,716,1243
17.0999,2125,1269
17.1499,659,1306
17.1999,1856,1356
17.2499,2183,1416
17.2999,661,1487
17.3499,1780,1566
17.3999,1990,1653
17.4499,1738,1746
17.4999,2021,1844
17.5499,2059,1945
17.5999,2049,2048
17.6499,1959,2150
17.6999,2181,2251
17.7499,2454,2349
17.7999,3000,2442
17.8499,2420,2529
17.8999,2343,2608
17.9499,1956,2679
17.9999,2408,2739
18.0499,2712,2789
18.0999,920,2826
18.1499,2902,2852
18.1999,2950,2865
18.2499,2585,2865
18.2999,2384,2852
18.3499,3338,2826
18.3999,3154,2789
18.4499,2610,2739
18.4999,1538,2679
18.5499,2280,2608
18.5999,2349,2529
18.6499,3008,2442
18.6999,1539,2349
18.7499,2355,2251
18.7999,1813,2150
18.8499,1936,2048
18.8999,1535,1945
18.9499,1591,1844
18.9999,1414,1746
19.0499,1799,1653
19.0999,579,1566
19.1499,1149,1487
19.1999,830,1416
19.2499,191,1356
19.2999,1380,1306
19.3499,1865,1269
19.3999,309,1243
19.4499,936,1230
19.4999,1568,1230
19.5499,966,1243
19.5999,2715,1269
19.6499,2529,1306
19.6999,0,1356
19.7499,1854,1416
19.7999,1184,1487
19.8499,1468,1566
19.8999,3066,1653
19.9499,2220,1746
19.9999,1766,1844
20.0499,1381,1945
20.0999,1528,2047
20.1499,2310,2150
20.1999,2548,2251
20.2499,2573,2349
20.2999,2304,2442
20.3499,2327,2529
20.3999,2347,2608
20.4499,2944,2679
20.4999,3282,2739
20.5499,2357,2789
20.5999,3651,2826
20.6499,2821,2852
20.6999,1730,2865
20.7499,2902,2865
20.7999,2470,2852
20.8499,3084,2826
20.8999,2820,2789
20.9499,1860,2739
20.9999,2825,2679
21.0499,2789,2608
21.0999,2367,2529
21.1499,2486,2442
21.1999,2048,2349
21.2499,2376,2251
21.2999,1835,2150
21.3499,1575,2048
21.3999,2386,1945
21.4499,1190,1844
21.4999,1904,1746
21.5499,1025,1653
21.5999,2102,1566
21.6499,2046,1487
21.6999,1469,1416
21.7499,1152,1356
21.7999,575,1306
21.8499,1259,1269
21.8999,1362,1243
21.9499,3412,1230
21.9999,0,1230
22.0499,1503,1243
22.0999,1299,1269
22.1499,1547,1306
22.1999,873,1356
22.2499,993,1416
22.2999,997,1487
22.3499,2437,1566
22.3999,1117,1653
22.4499,2170,1746
22.4999,1762,1844
22.5499,3258,1945
22.5999,1986,2048
22.6499,1965,2150
22.6999,2227,2251
22.7499,2593,2349
22.7999,3044,2442
22.8499,3038,2529
22.8999,2193,2608
22.9499,2462,2679
22.9999,2903,2739
23.0499,2408,2789
23.0999,2543,2826
23.1499,763,2852
23.1999,3608,2865
23.2499,2978,2865
23.2999,2894,2852
23.3499,3218,2826
23.3999,2859,2789
23.4499,2451,2739
23.4999,2893,2679
23.5499,2734,2608
23.5999,1806,2529
23.6499,2644,2442
23.6999,2788,2349
23.7499,2124,2251
23.7999,2024,2150
23.8499,2243,2048
23.8999,2550,1945
23.9499,1370,1844
23.9999,1540,1746
24.0499,1520,1653
24.0999,1512,1566
24.1499,1013,1487
24.1999,1828,1416
24.2499,1035,1356
24.2999,591,1306
24.3499,1098,1269
24.3999,953,1243
24.4499,1190,1230
24.4999,932,1230
24.5499,0,1243
24.5999,1529,1269
24.6499,848,1306
24.6999,1925,1356
24.7499,1058,1416
24.7999,1703,1487
24.8499,1035,1566
24.8999,1413,1653
24.9499,2464,1746
24.9999,1179,1844
25.0499,1988,1945
25.0999,2141,2048
25.1499,1998,2150
25.1999,2567,2251
25.2499,2019,2349
25.2999,2555,2442
25.3499,3122,2529
25.3999,3184,2608
25.4499,2797,2679
25.4999,4061,2739
25.5499,2813,2789
25.5999,3006,2826
25.6499,3042,2852
25.6999,2495,2865
25.7499,3588,2865
25.7999,2612,2852
25.8499,4095,2826
25.8999,3474,2789
25.9499,3168,2739
25.9999,2745,2679
26.0499,2601,2608
26.0999,2655,2529
26.1499,1833,2442
26.1999,2012,2349
26.2499,1922,2251
26.2999,1887,2150
26.3499,2311,2048
26.3999,1472,1945
26.4499,1809,1844
26.4999,1622,1746
26.5499,752,1653
26.5999,1180,1566
26.6499,1552,1487
26.6999,28,1416
26.7499,1331,1356
26.7999,917,1306
26.8499,1526,1269
26.8999,1101,1243
26.9499,1966,1230
26.9999,1549,1230
27.0499,1065,1243
27.0999,3670,1269
27.1499,899,1306
27.1999,1057,1356
27.2499,1893,1416
27.2999,1583,1487
27.3499,1948,1566
27.3999,1884,1653
27.4499,1569,1746
27.4999,1663,1844
27.5499,2585,1945
27.5999,1512,2047
27.6499,1836,2150
27.6999,2257,2251
27.7499,1898,2349
27.7999,2537,2442
27.8499,2499,2529
27.8999,2383,2608
27.9499,3185,2679
27.9999,2470,2739
28.0499,2072,2789
28.0999,2830,2826
28.1499,2745,2852
28.1999,3150,2865
28.2499,2857,2865
28.2999,2710,2852
28.3499,3096,2826
28.3999,2611,2789
28.4499,3007,2739
28.4999,2500,2679
28.5499,2439,2608
28.5999,2982,2529
28.6499,2487,2442
28.6999,2507,2349
28.7499,2205,2251
28.7999,2643,2150
28.8499,2305,2047
28.8999,1911,1945
28.9499,2167,1844
28.9999,1758,1746
29.0499,1233,1653
29.0999,1255,1566
29.1499,1228,1487
29.1999,1392,1416
29.2499,1410,1356
29.2999,1416,1306
29.3499,2718,1269
29.3999,1756,1243
29.4499,841,1230
29.4999,1180,1230
29.5499,1411,1243
29.5999,3116,1269
29.6499,784,1306
29.6999,2157,1356
29.7499,1776,1416
29.7999,2079,1487
29.8499,1024,1566
29.8999,1508,1653
29.9499,1775,1746
29.9999,1865,1844
30.0499,1651,1945
30.0999,2213,2048
30.1499,1891,2150
30.1999,2466,2251
30.2499,2582,2349
30.2999,2665,2442
30.3499,2722,2529
30.3999,4095,2608
30.4499,2367,2679
30.4999,2900,2739
30.5499,3808,2789
30.5999,3777,2826
30.6499,2957,2852
30.6999,2934,2865
30.7499,2837,2865
30.7999,2204,2852
30.8499,2310,2826
30.8999,2465,2789
30.9499,2557,2739
30.9999,2644,2679
31.0499,2060,2608
31.0999,2553,2529
31.1499,2284,2442
31.1999,2258,2349
31.2499,2491,2251
31.2999,2380,2150
31.3499,2167,2048
31.3999,2398,1945
31.4499,2282,1844
31.4999,1382,1746
31.5499,1788,1653
31.5999,1264,1566
31.6499,1662,1487
31.6999,1906,1416
31.7499,1449,1356
31.7999,1156,1306
31.8499,850,1269
31.8999,1037,1243
31.9499,1302,1230
31.9999,1692,1230
32.0499,780,1243
32.0999,1054,1269
32.1499,1200,1306
32.1999,1139,1356
32.2499,1188,1416
32.2999,1848,1487
32.3499,1898,1566
32.3999,1662,1653
32.4499,1904,1746
32.4999,1600,1844
32.5499,2125,1945
32.5999,2593,2047
32.6499,243,2150
32.6999,2139,2251
32.7499,2399,2349
32.7999,1777,2442
32.8499,2535,2529
32.8999,2449,2608
32.9499,2385,2679
32.9999,3101,2739
33.0499,2469,2789
33.0999,2615,2826
33.1499,2421,2852
33.1999,2456,2865
33.2499,2762,2865
33.2999,2931,2852
33.3499,2774,2826
33.3999,2571,2789
33.4499,2892,2739
33.4999,2727,2679
33.5499,3171,2608
33.5999,2628,2529
33.6499,2248,2442
33.6999,2457,2349
33.7499,2292,2251
33.7999,2127,2150
33.8499,2018,2048
33.8999,1207,1945
33.9499,1518,1844
33.9999,1481,1746
34.0499,1922,1653
34.0999,1690,1566
34.1499,1706,1487
34.1999,1685,1416
34.2499,1377,1356
34.2999,1506,1306
34.3499,1371,1269
34.3999,2514,1243
34.4499,852,1230
34.4999,1043,1230
34.5499,1571,1243
34.5999,1351,1269
34.6499,251,1306
34.6999,823,1356
34.7499,1546,1416
34.7999,1623,1487
34.8499,1199,1566
34.8999,2021,1653
34.9499,1951,1746
34.9999,1727,1844
35.0499,2008,1945
35.0999,2089,2048
35.1499,763,2150
35.1999,2853,2251
35.2499,2296,2349
35.2999,3264,2442
35.3499,2590,2529
35.3999,3229,2608
35.4499,2159,2679
35.4999,2615,2739
35.5499,2781,2789
35.5999,2581,2826
35.6499,4095,2852
35.6999,4095,2865
35.7499,3158,2865
35.7999,3007,2852
35.8499,3834,2826
35.8999,3003,2789
35.9499,2953,2739
35.9999,2345,2679
36.0499,2545,2608
36.0999,2889,2529
36.1499,2517,2442
36.1999,2403,2349
36.2499,2089,2251
36.2999,1994,2150
36.3499,2026,2048
36.3999,1954,1945
36.4499,1754,1844
36.4999,1475,1746
36.5499,1602,1653
36.5999,1735,1566
36.6499,1382,1487
36.6999,1759,1416
36.7499,837,1356
36.7999,1383,1306
36.8499,1965,1269
36.8999,1212,1243
36.9499,789,1230
36.9999,1114,1230
37.0499,893,1243
37.0999,2098,1269
37.1499,1215,1306
37.1999,1129,1356
37.2499,744,1416
37.2999,941,1487
37.3499,1803,1566
37.3999,1564,1653
37.4499,1836,1746
37.4999,1457,1844
37.5499,1972,1945
37.5999,3373,2048
37.6499,2065,2150
37.6999,2519,2251
37.7499,3189,2349
37.7999,1835,2442
37.8499,2193,2529
37.8999,2141,2608
37.9499,2798,2679
37.9999,2471,2739
38.0499,2626,2789
38.0999,2901,2826
38.1499,3585,2852
38.1999,3203,2865
38.2499,2925,2865
38.2999,2618,2852
38.3499,2934,2826
38.3999,2852,2789
38.4499,2441,2739
38.4999,2602,2679
38.5499,3601,2608
38.5999,2273,2529
38.6499,2316,2442
38.6999,2253,2349
38.7499,4095,2251
38.7999,2128,2150
38.8499,2201,2047
38.8999,1138,1945
38.9499,1517,1844
38.9999,1975,1746
39.0499,2223,1653
39.0999,1425,1566
39.1499,1177,1487
39.1999,1302,1416
39.2499,1421,1356
39.2999,803,1306
39.3499,1013,1269
39.3999,815,1243
39.4499,3056,1230
39.4999,1483,1230
39.5499,1424,1243
39.5999,1587,1269
39.6499,1155,1306
39.6999,1601,1356
39.7499,1655,1416
39.7999,1577,1487
39.8499,3530,1566
39.8999,1398,1653
39.9499,1559,1746
39.9999,2080,1844
40.0499,2281,1945
40.0999,2486,2047
40.1499,3082,2150
40.1999,2017,2251
40.2499,3089,2349
40.2999,2590,2442
40.3499,1612,2529
40.3999,2244,2608
40.4499,2151,2679
40.4999,2963,2739
40.5499,2861,2789
40.5999,3131,2826
40.6499,2954,2852
40.6999,2939,2865
40.7499,2572,2865
40.7999,2251,2852
40.8499,2483,2826
40.8999,3750,2789
40.9499,2991,2739
40.9999,2114,2679
41.0499,2300,2608
41.0999,2322,2529
41.1499,2419,2442
41.1999,2399,2349
41.2499,2526,2251
41.2999,2243,2150
41.3499,2102,2047
41.3999,1531,1945
41.4499,2015,1844
41.4999,988,1746
41.5499,0,1653
41.5999,1230,1566
41.6499,1312,1487
41.6999,1488,1416
41.7499,1524,1356
41.7999,1067,1306
41.8499,1552,1269
41.8999,1267,1243
41.9499,1000,1230
41.9999,1591,1230
42.0499,2007,1243
42.0999,1687,1269
42.1499,1257,1306
42.1999,1178,1356
42.2499,1332,1416
42.2999,1210,1487
42.3499,1552,1566
42.3999,1629,1653
42.4499,1327,1746
42.4999,2242,1844
42.5499,2317,1945
42.5999,2005,2047
42.6499,1651,2150
42.6999,2358,2251
42.7499,1848,2349
42.7999,1908,2442
42.8499,3261,2529
42.8999,1921,2608
42.9499,2508,2679
42.9999,2623,2739
43.0499,3059,2789
43.0999,3237,2826
43.1499,2888,2852
43.1999,2970,2865
43.2499,1750,2865
43.2999,2974,2852
43.3499,2595,2826
43.3999,2304,2789
43.4499,2781,2739
43.4999,3237,2679
43.5499,0,2608
43.5999,2035,2529
43.6499,2591,2442
43.6999,2346,2349
43.7499,2280,2251
43.7999,2104,2150
43.8499,1462,2047
43.8999,1953,1945
43.9499,1715,1844
43.9999,2244,1746
44.0499,1002,1653
44.0999,1104,1566
44.1499,1453,1487
44.1999,779,1416
44.2499,1501,1356
44.2999,1375,1306
44.3499,870,1269
44.3999,723,1243
44.4499,1611,1230
44.4999,823,1230
44.5499,1503,1243
44.5999,994,1269
44.6499,1437,1306
44.6999,1006,1356
44.7499,1804,1416
44.7999,930,1487
44.8499,575,1566
44.8999,1588,1653
44.9499,1920,1746
44.9999,1348,1844
45.0499,1943,1945
45.0999,1287,2048
45.1499,2314,2150
45.1999,1474,2251
45.2499,1796,2349
45.2999,2549,2442
45.3499,2675,2529
45.3999,2706,2608
45.4499,2666,2679
45.4999,2220,2739
45.5499,2456,2789
45.5999,3484,2826
45.6499,2586,2852
45.6999,2939,2865
45.7499,2858,2865
45.7999,2242,2852
45.8499,2668,2826
45.8999,2062,2789
45.9499,2671,2739
45.9999,2841,2679
46.0499,2242,2608
46.0999,2561,2529
46.1499,2190,2442
46.1999,1854,2349
46.2499,2684,2251
46.2999,2497,2150
46.3499,1757,2048
46.3999,1904,1945
46.4499,1818,1844
46.4999,1356,1746
46.5499,1455,1653
46.5999,3450,1566
46.6499,3430,1487
46.6999,1083,1416
46.7499,1487,1356
46.7999,1837,1306
46.8499,1037,1269
46.8999,1287,1243
46.9499,1138,1230
46.9999,1922,1230
47.0499,884,1243
47.0999,1834,1269
47.1499,1283,1306
47.1999,1602,1356
47.2499,3436,1416
47.2999,1928,1487
47.3499,1598,1566
47.3999,1485,1653
47.4499,0,1746
47.4999,3834,1844
47.5499,1275,1945
47.5999,2928,2048
47.6499,4095,2150
47.6999,2644,2251
47.7499,2704,2349
47.7999,2737,2442
47.8499,2696,2529
47.8999,2650,2608
47.9499,3158,2679
47.9999,3247,2739
48.0499,2275,2789
48.0999,2219,2826
48.1499,2731,2852
48.1999,3049,2865
48.2499,3387,2865
48.2999,3022,2852
48.3499,2793,2826
48.3999,2286,2789
48.4499,3384,2739
48.4999,524,2679
48.5499,2782,2608
48.5999,2268,2529
48.6499,2310,2442
48.6999,2711,2349
48.7499,2274,2251
48.7999,2612,2150
48.8499,2634,2048
48.8999,1905,1945
48.9499,1362,1844
48.9999,1993,1746
49.0499,2159,1653
49.0999,1497,1566
49.1499,1331,1487
49.1999,1323,1416
49.2499,1254,1356
49.2999,1424,1306
49.3499,801,1269
49.3999,798,1243
49.4499,1645,1230
49.4999,1193,1230
49.5499,1895,1243
49.5999,1442,1269
49.6499,1257,1306
49.6999,1445,1356
49.7499,1339,1416
49.7999,2149,1487
49.8499,964,1566
49.8999,1420,1653
49.9499,1514,1746
49.9999,1928,1844
50.0499,2285,1945
50.0999,1474,2048
50.1499,2413,2150
50.1999,2861,2251
50.2499,2405,2349
50.2999,3463,2442
50.3499,2542,2529
50.3999,2535,2608
50.4499,3315,2679
50.4999,2486,2739
50.5499,2676,2789
50.5999,3101,2826
50.6499,3313,2852
50.6999,2510,2865
50.7499,2758,2865
50.7999,739,2852
50.8499,2902,2826
50.8999,2896,2789
50.9499,2982,2739
50.9999,2368,2679
51.0499,3321,2608
51.0999,2732,2529
51.1499,2179,2442
51.1999,2521,2349
51.2499,1430,2251
51.2999,1640,2150
51.3499,2421,2047
51.3999,473,1945
51.4499,2268,1844
51.4999,1312,1746
51.5499,1773,1653
51.5999,1702,1566
51.6499,1297,1487
51.6999,1308,1416
51.7499,1859,1356
51.7999,991,1306
51.8499,1784,1269
51.8999,1246,1243
51.9499,1525,1230
51.9999,1427,1230
52.0499,0,1243
52.0999,1960,1269
52.1499,908,1306
52.1999,660,1356
52.2499,999,1416
52.2999,1702,1487
52.3499,1274,1566
52.3999,1426,1653
52.4499,2403,1746
52.4999,2050,1844
52.5499,1977,1945
52.5999,2319,2047
52.6499,251,2150
52.6999,1504,2251
52.7499,2185,2349
52.7999,2417,2442
52.8499,2641,2529
52.8999,1875,2608
52.9499,2317,2679
52.9999,2529,2739
53.0499,2956,2789
53.0999,3050,2826
53.1499,3016,2852
53.1999,2827,2865
53.2499,2848,2865
53.2999,4095,2852
53.3499,3332,2826
53.3999,3009,2789
53.4499,2884,2739
53.4999,2950,2679
53.5499,2006,2608
53.5999,2604,2529
53.6499,1883,2442
53.6999,2069,2349
53.7499,2137,2251
53.7999,1565,2150
53.8499,2076,2047
53.8999,1902,1945
53.9499,1358,1844
53.9999,1865,1746
54.0499,1569,1653
54.0999,1186,1566
54.1499,1692,1487
54.1999,1338,1416
54.2499,1290,1356
54.2999,1788,1306
54.3499,1724,1269
54.3999,1485,1243
54.4499,1124,1230
54.4999,1980,1230
54.5499,1240,1243
54.5999,1845,1269
54.6499,1522,1306
54.6999,1747,1356
54.7499,1928,1416
54.7999,1043,1487
54.8499,1840,1566
54.8999,1470,1653
54.9499,1289,1746
54.9999,2103,1844
55.0499,1405,1945
55.0999,2062,2047
55.1499,2314,2150
55.1999,2184,2251
55.2499,311,2349
55.2999,4095,2442
55.3499,2833,2529
55.3999,2957,2608
55.4499,1831,2679
55.4999,1796,2739
55.5499,2840,2789
55.5999,2669,2826
55.6499,3066,2852
55.6999,3250,2865
55.7499,2428,2865
55.7999,2863,2852
55.8499,2028,2826
55.8999,3442,2789
55.9499,2181,2739
55.9999,2738,2679
56.0499,3598,2608
56.0999,1978,2529
56.1499,2999,2442
56.1999,2278,2349
56.2499,2180,2251
56.2999,2080,2150
56.3499,2137,2047
56.3999,2263,1945
56.4499,2100,1844
56.4999,4095,1746
56.5499,2000,1653
56.5999,1556,1566
56.6499,1560,1487
56.6999,1146,1416
56.7499,3083,1356
56.7999,2103,1306
56.8499,1345,1269
56.8999,1244,1243
56.9499,1104,1230
56.9999,1467,1230
57.0499,776,1243
57.0999,1538,1269
57.1499,1076,1306
57.1999,1522,1356
57.2499,1118,1416
57.2999,3359,1487
57.3499,1836,1566
57.3999,1841,1653
57.4499,1836,1746
57.4999,1867,1844
57.5499,2356,1945
57.5999,2110,2048
57.6499,2740,2150
57.6999,2645,2251
57.7499,2420,2349
57.7999,2001,2442
57.8499,2944,2529
57.8999,2975,2608
57.9499,2544,2679
57.9999,2404,2739
58.0499,3158,2789
58.0999,3378,2826
58.1499,2254,2852
58.1999,2696,2865
58.2499,2739,2865
58.2999,3206,2852
58.3499,2333,2826
58.3999,3233,2789
58.4499,2573,2739
58.4999,2834,2679
58.5499,2328,2608
58.5999,2164,2529
58.6499,3054,2442
58.6999,2173,2349
58.7499,4095,2251
58.7999,1622,2150
58.8499,0,2048
58.8999,1506,1945
58.9499,2297,1844
58.9999,2331,1746
59.0499,1302,1653
59.0999,1450,1566
59.1499,1176,1487
59.1999,623,1416
59.2499,1100,1356
59.2999,844,1306
59.3499,865,1269
59.3999,1657,1243
59.4499,1212,1230
59.4999,2176,1230
59.5499,1141,1243
59.5999,1330,1269
59.6499,2067,1306
59.6999,1047,1356
59.7499,1444,1416
59.7999,1299,1487
59.8499,1838,1566
59.8999,1990,1653
59.9499,1680,1746
59.9999,2478,1844
60.0499,2058,1945
60.0999,1972,2048
60.1499,2339,2150
60.1999,1944,2251
60.2499,2239,2349
60.2999,2315,2442
60.3499,3119,2529
60.3999,2387,2608
60.4499,3570,2679
60.4999,3034,2739
60.5499,2703,2789
60.5999,1894,2826
60.6499,2750,2852
60.6999,2777,2865
60.7499,3049,2865
60.7999,2941,2852
60.8499,2983,2826
60.8999,3088,2789
60.9499,2809,2739
60.9999,2884,2679
61.0499,2282,2608
61.0999,2395,2529
61.1499,679,2442
61.1999,0,2349
61.2499,2772,2251
61.2999,1866,2150
61.3499,1544,2048
61.3999,1689,1945
61.4499,1660,1844
61.4999,2064,1746
61.5499,1839,1653
61.5999,1661,1566
61.6499,1809,1487
61.6999,1505,1416
61.7499,906,1356
61.7999,1054,1306
61.8499,470,1269
61.8999,970,1243
61.9499,1413,1230
61.9999,1341,1230
62.0499,967,1243
62.0999,1323,1269
62.1499,1507,1306
62.1999,1041,1356
62.2499,1648,1416
62.2999,2275,1487
62.3499,1727,1566
62.3999,2280,1653
62.4499,1474,1746
62.4999,3074,1844
62.5499,1983,1945
62.5999,2246,2047
62.6499,2260,2150
62.6999,2072,2251
62.7499,2325,2349
62.7999,2240,2442
62.8499,2780,2529
62.8999,2690,2608
62.9499,2767,2679
62.9999,2676,2739
63.0499,2879,2789
63.0999,2804,2826
63.1499,3302,2852
63.1999,2114,2865
63.2499,2163,2865
63.2999,2997,2852
63.3499,2572,2826
63.3999,2787,2789
63.4499,2029,2739
63.4999,3045,2679
63.5499,4095,2608
63.5999,2424,2529
63.6499,3727,2442
63.6999,2080,2349
63.7499,2880,2251
63.7999,2089,2150
63.8499,1602,2047
63.8999,1330,1945
